eo_id,title,URL
"Executive Order No. 173, s. 2022","DIRECTING THE ABOLITION OF THE MUNICIPAL DEVELOPMENT FUND OFFICE, TRANSFERRING ITS ASSETS, LIABILITIES AND OBLIGATIONS TO THE DEPARTMENT OF FINANCE, AND FOR OTHER PURPOSES",https://www.officialgazette.gov.ph/2022/06/10/executive-order-no-173-s-2022/
"Executive Order No. 172, s. 2022",MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 172 APPROVING THE COCONUT FARMERS AND INDUSTRY DEVELOPMENT PLAN,https://www.officialgazette.gov.ph/2022/06/02/executive-order-no-172-s-2022/
"Executive Order No. 171, s. 2022","TEMPORARY MODIFYING THE RATES OF IMPORT DUTY ON VARIOUS PRODUCTS UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”",https://www.officialgazette.gov.ph/2022/05/21/executive-order-no-171-s-2022/
"Executive Order No. 170, s. 2022",ADOPTION OF DIGITAL PAYMENTS FOR GOVERNMENT DISBURSEMENTS AND COLLECTIONS ,https://www.officialgazette.gov.ph/2022/05/12/executive-order-no-170-s-2022/
"Executive Order No. 169, s. 2022","STRENGTHENING THE FRANCHISING INDUSTRY FOR THE PROTECTION OF MICRO, SMALL AND MEDIUM ENTERPRISES",https://www.officialgazette.gov.ph/2022/05/12/executive-order-no-169-s-2022/
"Executive Order No. 168, s. 2022",TRANSFERRING THE NATIONAL IRRIGATION ADMINISTRATION FROM THE OFFICE OF THE PRESIDENT TO THE DEPARTMENT OF AGRICULTURE,https://www.officialgazette.gov.ph/2022/04/25/executive-order-no-168-s-2022/
"Executive Order No. 167, s. 2022","STRENGTHENING THE PHILIPPINE COMMISSION ON WOMEN, FURTHER AMENDING EXECUTIVE ORDER NO. 208 (S. 1994), AS AMENDED, FOR THE PURPOSE",https://www.officialgazette.gov.ph/2022/04/06/executive-order-no-167-s-2022/
"Executive Order No. 166, s. 2022","MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 166 ADOPTING THE TEN-POINT POLICY AGENDA TO ACCELERATE AND SUSTAIN ECONOMIC RECOVERY FROM THE COVID-19 PANDEMIC, AND DIRECTING A WHOLE-OF-GOVERNMENT APPROACH TO ALIGN ALL ECONOMIC RECOVERY PROGRAMS AND MEASURES OF THE NATIONAL GOVERNMENT",https://www.officialgazette.gov.ph/2022/03/21/executive-order-no-166-s-2022/
"Executive Order No. 165, s. 2022",PRESCRIBING REGULATIONS ON OUT-OF-HOME ADVERTISING SIGNS AND BILLBOARDS,https://www.officialgazette.gov.ph/2022/03/21/executive-order-no-165-s-2022/
"Executive Order No. 164, s. 2022","ADOPTING A NATIONAL POSITION FOR A NUCLEAR ENERGY PROGRAM, AND FOR OTHER PURPOSES",https://www.officialgazette.gov.ph/2022/02/28/executive-order-no-164-s-2022/
